aff_raw,count
Department of Computer Science,269
"School of Computer Science, Fudan University, Shanghai, China",269
"Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China",266
MIT,266
Iowa State University,265
King Abdullah University of Science and Technology (KAUST),264
"Department of Computer Science and Technology, Tsinghua University",264
Adobe,263
UC San Diego,260
"Ohio State University, Columbus",260
Bar-Ilan University,259
Intel,258
University of Surrey,255
University of Macau,254
National Yang Ming Chiao Tung University,253
University of Adelaide,253
Sungkyunkwan University,253
"Shenzhen International Graduate School, Tsinghua University",253
Politecnico di Milano,252
Korea Advanced Institute of Science and Technology (KAIST),248
DeepMind,245
Facebook AI,244
Vanderbilt University,243
Dartmouth College,240
Toyota Technological Institute at Chicago,239
CISPA Helmholtz Center for Information Security,238
University of Tübingen,238
University of Bristol,236
Hebrew University of Jerusalem,235
JD Explore Academy,234
Sea AI Lab,234
Stony Brook University,233
"Tsinghua Shenzhen International Graduate School, Tsinghua University",227
NAVER,227
"Technion - Israel Institute of Technology, Technion",227
Bytedance,227
Ludwig-Maximilians-Universität München,222
"Department of Computer Science and Engineering, Shanghai Jiao Tong University",222
Moscow Institute of Physics and Technology,222
"Institute of Artificial Intelligence, Hefei Comprehensive National Science Center",221
"Technion, Technion",221
Pohang University of Science and Technology,220
"Institute of Software, Chinese Academy of Sciences",220
Eberhard-Karls-Universität Tübingen,219
"School of Cyber Security, University of Chinese Academy of Sciences, Beijing, China",219
"MoE Key Lab of Artificial Intelligence, AI Institute, Shanghai Jiao Tong University",219
Zhejiang Lab,217
University of Wisconsin-Madison,217
"University of Illinois, Urbana-Champaign",214
Hangzhou Dianzi University,213
"Department of Automation, Tsinghua University, China",213
University of Massachusetts Amherst,213
HKUST,212
Meta Reality Labs,212
MIT CSAIL,211
"Department of Computer Science, University of Oxford",209
Nanjing University of Aeronautics and Astronautics,209
TU Darmstadt,208
Tencent YouTu Lab,208
"School of Cyber Security, University of Chinese Academy of Sciences",208
"Harbin Institute of Technology, Shenzhen, China",207
Deakin University,206
"National Key Laboratory for Multimedia Information Processing, School of Computer Science, Peking University",206
Tokyo Institute of Technology,205
Inria,205
Oregon State University,204
"University of California, Riverside",203
"University of Virginia, Charlottesville",202
"Baidu Inc., Beijing, China",202
Hunan University,202
Max Planck Institute for Intelligent Systems,202
University of Georgia,201
MBZUAI,201
"University of Edinburgh, University of Edinburgh",199
University of Massachusetts at Amherst,198
Hikvision Research Institute,198
Shanghai AI Lab,198
"University of Minnesota, Minneapolis",197
George Mason University,197
"Department of Computer Science, ETHZ - ETH Zurich",197
Hanyang University,196
Sapienza University of Rome,195
Google Deepmind,195
Hong Kong Baptist University,193
Megvii Technology,193
"Department of Computer Science, University of Maryland, College Park",192
"School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China",192
The University of Adelaide,192
UNC Chapel Hill,192
Technical University of Denmark,191
OpenAI,191
Texas A&M,191
University of Illinois at Chicago,190
SalesForce.com,189
The University of Melbourne,188
ByteDance AI Lab,188
"Noah’s Ark Lab, Huawei Technologies",187
"Department of Automation, Tsinghua University",187
Toyota Research Institute,187
"University of Science and Technology of China, Hefei, China",186
"Paul G. Allen School of Computer Science & Engineering, University of Washington",186
"State Key Laboratory for Novel Software Technology, Nanjing University",185
Karlsruhe Institute of Technology,185
University of Florida,184
University of Liverpool,183
"SketchX, CVSSP, University of Surrey, United Kingdom",182
Max Planck Institute for Informatics,181
Osaka University,180
Zhejiang University of Technology,180
Central South University,179
Ohio State University,179
Hefei University of Technology,178
"Department of Computer Science, City University of Hong Kong",178
"Beijing National Research Center for Information Science and Technology, China",178
"National Key Laboratory for Novel Software Technology, Nanjing University, China",177
"University of Massachusetts, Amherst",177
State University of New York at Buffalo,177
KTH Royal Institute of Technology,176
"School of Computer Science, Peking University",176
University of California San Diego,175
"Language Technologies Institute, Carnegie Mellon University",174
"Max Planck Institute for Intelligent Systems, Max-Planck Institute",174
University of Texas at Dallas,173
A*STAR,172
University of New South Wales,172
"University of Illinois, Chicago",172
"School of Computer Science and Engineering, Nanyang Technological University, Singapore",172
Shenzhen Research Institute of Big Data,171
"Montreal Institute for Learning Algorithms, University of Montreal, University of Montreal",171
Queen Mary University of London,171
Sun Yat-Sen University,170
Beijing National Research Center for Information Science and Technology,170
"Alibaba Group, Hangzhou, China",169
"Department of Computer Science, National University of Singapore",168
"School of Computer Science and Engineering, Sun Yat-sen University, China",168
"Department of Electronic Engineering, Tsinghua University",168
CNRS,168
UCLA,168
Stevens Institute of Technology,167
Chinese Academy of Sciences,167
Soochow University,166
Shanghai University of Finance and Economics,166
"Qualcomm Inc, QualComm",165
University of Arizona,162
Mila - Quebec Artificial Intelligence Institute,162
University of Connecticut,161
IBM Research AI,161
UIUC,160
University of Queensland,160
"School of Information, Renmin University of China",159
University of Science and Technology Beijing,158
Chongqing University,158
University of Manchester,157
Karlsruher Institut für Technologie,157
Northwest Polytechnical University Xi'an,156
"Washington University, Saint Louis",156
NTT,154
Technische Universität Darmstadt,154
Kyoto University,154
Google Inc.,153
"Key Laboratory of Machine Intelligence and Advanced Computing, Ministry of Education, China",153
"School of Computer Science and Technology, East China Normal University, Shanghai, China",152
"Pattern Recognition Center, WeChat AI, Tencent Inc, China",152
Intel Labs,152
Sony AI,152
Virginia Polytechnic Institute and State University,152
Salesforce AI Research,151
Hong Kong University of Science and Technology (Guangzhou),151
Beijing Institute for General Artificial Intelligence,151
VinAI Research,151
International Digital Economy Academy,150
"Research Center for Social Computing and Information Retrieval, Harbin Institute of Technology, China",149
"Google Research, Brain Team",149
LMU Munich,148
