                                                                                   Error Summary by Conference                                                                                   
┏━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━┓
┃ Conference      ┃ Error Parsing JSON ┃ Input mismatch ┃ Missing LLM Output ┃ Missing aff ┃ Success Rate         ┃ Tokens per Paper ┃ completion_tokens ┃ prompt_tokens    ┃ total_tokens      ┃
│ affiliations-28 │ 14 (0.01%)         │ 0 (0.00%)      │ 66372 (67.21%)     │ 0 (0.00%)   │ 32361/98747 (32.77%) │ 13.14 (100.00%)  │ 127683 (9.84%)    │ 1169534 (90.16%) │ 1297217 (100.00%) │
│ affiliations-29 │ 16 (0.02%)         │ 0 (0.00%)      │ 64831 (65.65%)     │ 0 (0.00%)   │ 33900/98747 (34.33%) │ 13.15 (100.00%)  │ 128227 (9.87%)    │ 1170374 (90.13%) │ 1298601 (100.00%) │
│ affiliations-3  │ 21 (0.02%)         │ 0 (0.00%)      │ 63293 (64.10%)     │ 0 (0.00%)   │ 35433/98747 (35.88%) │ 13.08 (100.00%)  │ 124860 (9.67%)    │ 1166541 (90.33%) │ 1291401 (100.00%) │
│ affiliations-30 │ 21 (0.02%)         │ 0 (0.00%)      │ 61750 (62.53%)     │ 0 (0.00%)   │ 36976/98747 (37.45%) │ 13.28 (100.00%)  │ 137035 (10.45%)   │ 1174745 (89.55%) │ 1311780 (100.00%) │
│ affiliations-31 │ 23 (0.02%)         │ 0 (0.00%)      │ 60210 (60.97%)     │ 0 (0.00%)   │ 38514/98747 (39.00%) │ 13.27 (100.00%)  │ 136242 (10.40%)   │ 1174263 (89.60%) │ 1310505 (100.00%) │
│ affiliations-32 │ 23 (0.02%)         │ 0 (0.00%)      │ 58667 (59.41%)     │ 0 (0.00%)   │ 40057/98747 (40.57%) │ 13.29 (100.00%)  │ 137260 (10.46%)   │ 1175198 (89.54%) │ 1312458 (100.00%) │
│ affiliations-33 │ 23 (0.02%)         │ 0 (0.00%)      │ 57127 (57.85%)     │ 1 (0.00%)   │ 41597/98747 (42.12%) │ 13.28 (100.00%)  │ 137476 (10.48%)   │ 1173797 (89.52%) │ 1311273 (100.00%) │
│ affiliations-34 │ 23 (0.02%)         │ 0 (0.00%)      │ 55584 (56.29%)     │ 1 (0.00%)   │ 43140/98747 (43.69%) │ 13.15 (100.00%)  │ 128352 (9.89%)    │ 1170063 (90.11%) │ 1298415 (100.00%) │
│ affiliations-35 │ 25 (0.03%)         │ 0 (0.00%)      │ 54043 (54.73%)     │ 1 (0.00%)   │ 44679/98747 (45.25%) │ 13.16 (100.00%)  │ 129337 (9.95%)    │ 1170282 (90.05%) │ 1299619 (100.00%) │
│ affiliations-36 │ 26 (0.03%)         │ 0 (0.00%)      │ 52502 (53.17%)     │ 2 (0.00%)   │ 46219/98747 (46.81%) │ 13.06 (100.00%)  │ 123030 (9.54%)    │ 1166668 (90.46%) │ 1289698 (100.00%) │
